Package                  Version
------------------------ -----------
adjustText               0.7.3
anndata                  0.10.7
annoy                    1.17.3
array_api_compat         1.6
attrs                    23.2.0
beautifulsoup4           4.12.3
biopython                1.83
cellphonedb              5.0.0
cellrank                 2.0.3
certifi                  2024.2.2
charset-normalizer       3.3.2
click                    8.1.7
contourpy                1.2.1
cycler                   0.12.1
cykhash                  2.0.1
Cython                   3.0.10
decoupler                1.6.0
docrep                   0.3.2
elpigraph-python         0.3.1
exceptiongroup           1.2.1
fbpca                    1.0
filelock                 3.13.4
fonttools                4.51.0
fsspec                   2024.3.1
gdown                    5.1.0
geosketch                1.2
h5py                     3.11.0
harmonypy                0.0.9
hmmlearn                 0.3.2
hnswlib                  0.8.0
idna                     3.7
igraph                   0.11.4
imageio                  2.34.1
inflect                  7.2.1
Jinja2                   3.0.3
joblib                   1.4.0
kiwisolver               1.4.5
ktplotspy                0.2.3
lazy_loader              0.4
legacy-api-wrap          1.4
leidenalg                0.10.2
llvmlite                 0.42.0
loess                    2.1.2
loompy                   3.0.7
MACS3                    3.0.1
MarkupSafe               2.1.5
matplotlib               3.8.4
mizani                   0.9.3
more-itertools           10.2.0
mpmath                   1.3.0
mudata                   0.2.3
muon                     0.1.6
natsort                  8.4.0
networkx                 2.8.8
numba                    0.59.1
numpy                    1.26.4
numpy-groupies           0.11.1
nvidia-cublas-cu12       12.1.3.1
nvidia-cuda-cupti-cu12   12.1.105
nvidia-cuda-nvrtc-cu12   12.1.105
nvidia-cuda-runtime-cu12 12.1.105
nvidia-cudnn-cu12        8.9.2.26
nvidia-cufft-cu12        11.0.2.54
nvidia-curand-cu12       10.3.2.106
nvidia-cusolver-cu12     11.4.5.107
nvidia-cusparse-cu12     12.1.0.106
nvidia-nccl-cu12         2.20.5
nvidia-nvjitlink-cu12    12.4.127
nvidia-nvtx-cu12         12.1.105
omnipath                 1.0.8
packaging                24.0
pandas                   1.5.3
patsy                    0.5.6
pillow                   10.3.0
pip                      24.0
plotbin                  3.1.5
plotly                   5.21.0
plotnine                 0.12.4
progressbar2             4.4.2
protobuf                 5.26.1
pygam                    0.9.1
pygpcca                  1.0.4
pynndescent              0.5.12
pyparsing                3.1.2
PySocks                  1.7.1
python-circos            0.3.0
python-dateutil          2.9.0.post0
python-igraph            0.11.4
python-utils             3.8.2
pytz                     2024.1
PyYAML                   6.0.1
requests                 2.31.0
scanpy                   1.10.0
scFates                  1.0.7
scikit-image             0.23.2
scikit-learn             1.4.2
scikit-misc              0.3.1
scipy                    1.11.4
scrublet                 0.2.3
scvelo                   0.3.2
seaborn                  0.13.2
session-info             1.0.0
setuptools               59.6.0
shapely                  2.0.4
simpleppt                1.1.4
six                      1.16.0
soupsieve                2.5
statsmodels              0.14.2
stdlib-list              0.10.0
sympy                    1.12
tenacity                 8.2.3
texttable                1.7.0
threadpoolctl            3.4.0
tifffile                 2024.4.24
torch                    2.3.0
tqdm                     4.62.3
triton                   2.3.0
typeguard                4.2.1
typing_extensions        4.11.0
tzdata                   2024.1
umap-learn               0.5.6
urllib3                  2.2.1
velovae                  0.1.2
wget                     3.2
wheel                    0.37.1
wrapt                    1.16.0
